policyId,title
1,Appointment of a new Graduate School of Business (GSB) Director
2,Appointment of a new Vice-Chancellor
3,Appointment of new Deans
4,Appointment of new Deputy Vice-Chancellors
5,Appointment of new Executive Directors and the Registrar
6,Emeritus Professors and Emeritus Associate Professors
7,Fixed-term contract appointments
8,Learnership and internship
9,Leave policy (with effect from 01.01.2017)
10,Probation and confirmation of appointment for academic staff
11,Re-appointment of an incumbent Dean
12,Re-appointment of an incumbent Deputy Vice-Chancellor
13,Re-appointment of an incumbent GSB Director 
14,Re-appointment of an incumbent Vice-Chancellor
15,Retirement policy
16,Staff learning and development funding policy
17,Study & research and contact leave
18,Study and examination leave
