document,policyname
"Introduction | Terms of Reference for SO / TO Promotions Committee  Introduction  The Scientific and Technical Officers at the University of Cape Town provide an invaluable service to the university that spans a wide range of specialist activities. In recognition that each post is somewhat unique in its specialist requirements and to enable upward career mobility the university offers the opportunity for ad hominem promotion to this group of PASS staff. Performance management, career development and retention strategies are managed through this process.  The basis for deciding on promotion performance is captured in a performance standards document, which:   Differentiates the separate roles of the Scientific Officer (SO) and the Technical Officer (TO) in supporting teaching and/or research and/or management at the University; Distinguishes the performance indicators or outputs appropriate for each rank / level.   The performance standards document enables the following:   The candidate's representation of their performance as befits the core functions of their position; Objective evaluation of a candidate's performance level by the Promotions Committee, and assessment of whether it complies with an incremental standard; Referees' motivations of a candidate's performance against standardised indicators / outputs for a particular rank   Broader context  Given the role that SO / TOs play in supporting the academic endeavour, performance management, career development and retention strategies need to be explicit and transparent. The elements below show the broader context within which the promotion process resides.     If Then   the candidate and line manager wish to determine performance and development plans apply Development Dialogue (DD) process   the candidate consistently meets criteria for promotion by delivering outputs consistent with that of a higher position level follow promotion process   the candidate performs excellently in any particular year apply for an Exceeds Award   operational requirements of the position change / grow apply for position evaluation     Terms of Reference for SO / TO Promotions Committee  General rules and guidelines  The terms of reference should be understood in conjunction with the general rules and procedures for committees, as published in the Principal's Circular, and on the governance intranet.  General Provisions   The structure, function and powers of this committee, and any sub-committee, must be approved by the Deputy Vice-Chancellor (DVC) with responsibility for faculties. The Promotions Committee must consider all applications (i.e. no applications may be suppressed). To utilise accepted criteria for the evaluation of SO / TO candidates for promotion. Thoroughly review each candidate's submission, applying principles of fair assessment to inform each recommendation for promotion. To maintain confidentiality at each step of the process up until the candidate has been informed of the outcome by the relevant Dean. To maintain a confidential feedback process to candidates. To adhere to agreed timelines of promotion process.   Purpose   To evaluate applications or nominations for the promotion of SO / TO staff To make recommendations for promotion   Eligibility of SO / TO candidates   The candidate must have worked in their current position for three full years at the time that any promotion is implemented (usually 1 January of the year following the application), and may thus apply for promotion during the course of their third year. Candidates that have failed to be promoted must wait for two years before they again become eligible for promotion and may thus apply for promotion during the course of the second year after a failed application. In excptional circumstances, the responsible DVC of committee may waiver point number 2 above on motivation from the relevant Dean. Permanent (GOB or non-GOB funded) SO / TO staff members are eligible to apply for promotion. Achievements will only be considered and evaluated in services and support provided by the staff member while at UCT.   Documentation  The candidate submits the following documentation, which HR makes available on-line, to all promotions committee members for confidential review.   Candidate's motivation for, and evidence of, performance in the core functional areas, using the performance standards template to capture this information. See: Performance Standards template for SOs; and Performance Standards template for TO. Nomination letter by the candidate / a senior staff member / the HOD. This motivation should clearly articulate the level of performance against the expectations of the position, and with reference to the past two years’ performance evaluations. Names and email addresses of up to three job-related referees, one of whom must be the candidate's HOD. Position description (on HR191 template) reflecting current operational requirements of the section (signed by the HOD / Line Manager and the incumbent). Current CV. Copies of the candidate's 2 most recent performance evaluations.   The above documentation needs to be submitted as one pdf.  Incomplete applications (ie. missing documents) will not be considered.  Servicing officer to ensure all submitted documents are uploaded.  Prior to the promotions meeting, the HOD representing the Faculty on the Promotions Committee must convene an ad hoc committee within the Faculty. This committee should include all concerned HODs and the Scientific / Technical Officers from that Faculty serving on the promotions committee. The purpose of this committee is to evaluate all the applicants from that Faculty with the view to being able to fairly and objectively present each candidate’s case to the promotions committee to ensure that the candidate gets the best opportunity possible.  All committee members are expected to review the documentation of each candidate prior to the promotions meeting.  Formulation and composition of the Promotions Committee  Each year the SO / TO Promotions Committee will meet to assess candidates' submissions.  Membership of the Promotions Committee:     Members on the committee Capacity   1 x Deputy Vice-Chancellor (nominated by the Vice-Chancellor) Chair with Full Voting Rights   3 x Deans of relevant Faculties (FHS, Science, EBE) Full Voting Rights   7 x Scientific /Technical Officers nominated by the Faculties. Two each from EBE, FHS, FSC and one from HUM. There must be a balance between SOs and TOs. Once finalised reported to all SO/TO staff for information. Full Voting Rights   4 x HODs nominated by the Deans: EBE, HUM, FHS, FSC Full Voting Rights   2 x STOA executive Full Voting Rights   1 EU executive Full Voting Rights   1 HR representative Non-voting, Advisory and Servicing role     Note: SO/TOs should be PC10 and above, and in constituting membership, race, gender and cultural diversity should be taken into account. HODs should be from departments with a cohort of SO / TO staff.  Voting   The committee must vote by secret ballot to finalise their recommendations. A two-thirds (2/3) majority vote of the total membership present at the meeting is required in order to obtain a recommendation for promotion.   Quorum rules  75% of members (14 out of 18) which must include all three Deans.  Terms of office  For consistency, it is recommended that the Scientific / Technical Officers and HODs should serve on the committee for up to 3 consecutive years. The Chair will recommend limited replacements each year to ensure that not every member is new. No person should serve more than two consecutive three-year terms.  Process  Time-lines for the ad hominem process are outlined below:       Description Timeline   1. The Deans (Health Sciences, Science, EBE, Humanities) call for applications and nominations for SO / TO promotions. July   2. The Deans call for nominations from SO / TO staff for membership of the Promotions Committee. The composition of the Promotions Committee is finalised and SO / TO staff advised. July/August   3. The candidate submits all required documentation necessary for evaluation by the Promotions Committee August   4. Faculty HR Practitioners collate all relevant documentation submitted by candidates and make it available to the Faculty Sub-Committee and Promotions Committee members for their review prior to the promotions meeting. September   5. The Promotions Committee meets to evaluate all SO / TO applications and make recommendations for promotions. October   6. Recommendation for promotion is approved and candidate notified by letter. October   7. The relevant Dean provides constructive feedback to unsuccessful candidates in writing, and invites each candidate to a face-to-face meeting, which should include the HOD and line manager. October   8. Any review decision is signed off by the Promotions Committee Chairperson. October   The ad hominem process will be reviewed regularly for fairness and efficiency Ongoing Last reviewed: April 2019     Process after an unsuccessful application  Every applicant for ad hominem promotion has a right to feedback. The Dean of the relevant faculty is responsible for constructive feedback to the unsuccessful staff member.  The Promotions Committee's decision is final. However, an applicant may request a review of the process if she/he believes that there may have been a significant degree of unfairness in the procedure. The applicant should submit a letter stating the grounds for unfair process on which the review is requested. This to be submitted via the relevant Dean within 14 days of notification of the ad hominem promotion outcome. The applicant may not submit any additional materials in support of his/her application for review which were not originally submitted to the committee.  A DVC not involved in the ad hominem process, designated by the Vice-Chancellor, should then decide whether the application has merit to be reviewed for unfair process using:   The relevant Dean's written comments on procedural fairness and reasonableness of the decision. The Promotions Committee's decision and the reasons for its decision. The applicant's full portfolio including performance representation against SO / TO promotions criteria, and referees' reports, as submitted with the initial application.   If the selected DVC finds the process to be unfair, the DVC remits the matter to the SO / TO Promotions Committee for reconsideration, with written reasons, and a request that the Committee considers the application afresh.  Page last updated: 4 July 2019    Share on",PASS Scientific and Technical promotions process
"Rules and procedures for the appointment of heads of academic departments | The training of heads of academic departments | Acting heads of departments  The head of an academic department (HOD) occupies a pivotal position. He/she provides leadership and development where it matters most: in the academic department. Ensuring that his/her department flourishes as a well functioning academic unit is critical to our strategy.  The role, rights and responsibilities of heads of academic departments (HODS):    The head is responsible to his/her Dean for his/her work as head. The HOD must develop an operational plan for the department in consultation with the Dean.   The essence of headship is to give academic leadership to the department, to be concerned about its scholarship, its teaching and its standards, to develop its staff, and to grow it into a well-functioning academic unit.  The head should, as far as possible, consult his/her academic staff and delegate academic and other duties to them.  The head should also, where possible, consult the students in the department (or their representatives) at regular intervals. He/she must see to the election of class representatives.   It is the head's duty to represent the interests of the department in the faculty board, Senate and more widely.   The head should hold regular departmental seminars (at least once every two weeks) to promote intellectual vigour and rigour in the discipline.   While there are no prescriptive rules about departmental meetings, the HOD should hold them at least once every two months. Minutes should be kept and confirmed, and used for producing actions lists with deadlines. He/she should ensure a good flow of information to staff, especially as regards to policies and procedures.   Important issues include staff planning (include succession planning), staff development, the development of a departmental employment equity plan (in consultation with the Dean), and the carrying out of this plan. The head has to monitor the progress of staff serving probationary periods of appointment, and must carry out (or delegate) annual staff appraisals.   The head must also see to a range of administrative duties including:    Attend to or delegate routine academic and administrative matters relating to the department.   Ensure that nominations are made to the faculty board for the appointment of examiners for all courses offered by the department, and for higher degree candidates in the department.   Serve ex officio as a member of any committee of assessors appointed in respect of PhD candidates from the department, and for higher degree candidates in the department.   Decide leave for academic, technical and clerical staff in the department in accordance with HR rules and policies, and notify the Human Resources Department of any leave approved. (The head has power to decide on applications for special leave for periods of less than seven days, and may approve annual leave for the administrative and support staff of his/her department, but must notify the Human Resources Department of all leave granted.)   Make recommendations in regard to applications from members of staff for special leave for periods of seven days or longer, for study and research leave or contact leave, and on such other matters as may be decided from time to time.     The head is responsible for safety in his/her department. This includes ensuring that students, staff and visitors to the department are safeguarded and protected from physical risk, and that safe working standards and procedures are adhered to at all times. The head must see to it that he/she receives regular written reports from the safety officer(s) in the department.   The head is responsible for the control of expenditure against departmental budgets, and has the right to information about research budgets and research expenditure of members of the department.  The head is responsible for the equipment and assets assigned or on loan to the department and for the departmental asset register.   An acting head of a department has the rights, duties and responsibilities of a head, and serves as a member of any committee (together with the head if the head elects to continue to serve as a member) where the head's membership is ex officio.  If, in the absence of the substantive head, proposals are considered which would fundamentally affect the long term policies of the department (in regard to permanent staff appointments, curricula and structure degrees and courses), the Dean shall seek the head's views and ensure that these are communicated fully to the relevant committee.    Rules and procedures for the appointment of heads of academic departments    There is a single set of rules and procedures for the appointment of HODs.  Several HODs are appointed to permanent headships (this includes ballet, and some heads in the Faculty of Health Sciences). When the present incumbents step down from these headships, such procedures will be used to determine the appointment of the next head of department concerned.   The University's Employment Equity Policy applies at all levels within the University and appointment decisions must show commitment to the policy. Using the University's recruitment policy and procedures as a framework, every reasonable effort will be made to appoint suitable internal and external candidates from the designated groups to Headships of Academic Department positions.   The process for appointing a head begins with consultation. Deans generally consult members of the academic and senior support staff of the department (individually or in groups) and make recommendations to the executive officer charged with responsibility for the appointment of HODs. This must be done about six months in advance. The DVC will sometimes do this consulting, and include the Dean.   Professors and associate professors are contractually bound to make themselves available for appointment as HODs. Staff at the rank of senior lecturer may occasionally be appointed as HODs.   At least nine months before the term of office of an HOD is to expire, the Vice Chancellor's nominee (DVC responsible for academic headships) will initiate the process, and aim to complete this six months before the new HOD takes office.  The Dean (or DVC) will first consult the permanent academic staff of the department, and may then also consult the senior professional, administrative and support staff.  The aim is to find someone in the department who has:    The mix of scholarly strengths, inspirational leadership, recruiting skills, creativity and general management capacity required to develop a well-functioning academic unit.   The support of the department.   The vision essential to the department at a particular time.     After this process of consulting staff, and after consultating the DVC, the Dean must make a recommendation to the DVC (as the Vice Chancellor's nominee). The DVC, after further consultation (if considered necessary) shall either refer the nomination back to the Dean for re-consideration, or recommend to Council that it appoint the nominee to be head for a specified period.  Before the DVC recommends appointment, the DVC shall inform the Dean, the nominee, the current head, and the permanent academic staff.   The norm for a period of office will be five years, but where there are good reasons, appointment may be for a shorter period. As a general rule, a HOD should not take study and research leave during the first three years of a headship. Headships are renewable.   The nominee must present, either orally or in writing, an operational plan for the development of the department to the Dean and the DVC.  The Dean must ensure that this is done. The plan may be presented before the appointment is made, or before the nominee takes up the headship, or within the first six months of the headship, but not later than that.  The operational plan (modified where necessary in consultation with the Dean and the DVC) is intended to be a key tool for planning the work of headship. The Dean will also use it in subsequent performance appraisals.   An HOD who wishes to be relieved of the headship must ask the Dean and the DVC to consider this.   The Council may terminate a HODs headship before the term of office expires, if a committee recommends this. The Vice-Chancellor (or the Vice-Chancellor's nominee) may at any time appoint a committee, the composition of which shall be for a committee of review, to consider whether or not to recommend the termination of the headship. The committee shall submit a motivated recommendation to the Council.   Allowances, research support and leave privileges of heads of academic departments  The allowance and research (or other) support of each head of department shall be decided by the Dean from time to time, and is subject to budget.   The Dean may award an HOD an allowance which may be used in one or more of the following ways:    A headship allowance (a taxable addition to salary for the period for which given).   A research grant (e.g. to assist the HOD in maintaining his/her research during the period of headship).   A combination of the two above.    The allocation of the funds may not be changed for the duration of the headship.   The study and research leave accrual for HODs (in addition to standard accrual) is two weeks for each year as head, pro-rated.    The training of heads of academic departments    The Dean is responsible for the induction of each HOD, for arranging an induction programme for him/her, and for arranging for him/her to attend suitable courses. Each Dean is responsible for the staff development of the HODs in his/her faculty. This includes ensuring that each HOD is placed, through effective and appropriate support, in a position where he/she can teach, supervise research students, and maintain his/her academic profile. In many cases this may involve a downscaling of some of these activities, given the added responsibilities and tasks the HOD must perform.   Best practice models will differ across disciplines, but induction and training of HODs should cover:    Academic leadership (through vigorous planning, scanning of the national and international disciplinary landscape and visitors and conferences).   How best to organise regular, well-attended research seminars.   How to run effective, regular academic staff meetings (including senior support staff), which are minuted and lead to departmental action plans, and which are a forum for important discussions. Plenary departmental meetings should also be organised at least once a year.   The management of relationships with undergraduate and postgraduate students.   Contributions to academic programmes.   Curriculum development, taking into account university and system policy imperatives and trends.   Staff development, in particular regarding teaching, research and general intellectual growth.   Use of outside scholars for stimulation of students.   Library and IT services.   Space management at departmental level.   The management of facilities and equipment for research.   The management of fieldwork and community sites.    All factors should be supplemented by specific operational induction into HR management, research management, financial processes (fund raising) issues and communications.    Acting heads of departments    It is our policy to appoint an acting head in all cases where the head is (or is to be) absent, or when the headship is vacant.   The Dean appoints acting heads for periods of less than three months, and reports his/her decision to the Executive Director: HR and to the DVC.   The Vice-Chancellor (or the Vice-Chancellor's nominee, currently the DVC responsible for academic headships) appoints acting heads after taking the advice of the Dean, and after such consultation with staff as the DVC and the Dean consider necessary, for periods of between three and 12 months.   Should a vacancy exist for more than 12 months, a substantive rather than acting appointment is normally made.   The appointment of acting heads is reported for information in the PC.   Where an acting appointment is made for less than three months, no allowance is paid. The Dean decides the allowances and conditions under which an acting HOD will work for periods of between three and 12 months. No additional leave privileges attach to periods of acting headship.   Rules may be varied  Without in any way affecting the right of Council and Senate to alter, amend or make rules, it is recorded that these rules may be varied by Council from time to time after consultation with Senate.    Hugh Amoore Registrar 18 January 2000  Reference: Senate November 1999; Council December 1999 Rules updated: 12 May 2016  Page last updated: 17 May 2016    Share on",Headships of academic departments
"General | Principles | Informal action | Formal action | Suspension | The disciplinary enquiry | Appeal procedure  (This policy was consulted on between the University, the UCT Employees Union and NEHAWU, 2004)    General    This code contains general guidelines on the application of the disciplinary procedure and the promotion of fair labour practices pertaining to certain standards of conduct required from employees. While the code outlines the principles of fair procedure for the University and employees generally, it is of particular relevance to the individual employment relationship. This code applies to all employees as indicated above, and is designed to encourage all employees to achieve and maintain standards of conduct in accordance with their employment contract, specific position requirements and/or University rules. It is the responsibility of management to adopt disciplinary rules that establish the standard of conduct required from employees, and to ensure that all employees are informed of these standards, University policies and rules, and that they are exercised to all employees in procedurally and substantively fair and consistent manner. An employee is required to maintain certain standards of conduct. In particular, and without detracting from this general statement, an employee shall:   attend work regularly and punctually for the hours of work specified by the Head of Department within the maximum working hours laid down on the Human Resources website; perform his/her tasks and position responsibilities diligently; obey all lawful and reasonable University rules and job instructions issued by Management from time to time; conduct himself/herself with honesty and integrity; request permission in advance for any leave of absence, except on good cause; not absent himself/herself from duty without leave or permission, except on good cause; not behave insolently, provocatively, or in an intimidatory or aggressive manner towards any other staff member, student or visitor (which may include sexual harassment, racism, racial discrimination and racial harassment); not use intoxicating drugs while on duty (unless such drugs have been prescribed by a recognised medical practitioner and line management has been informed); not perform his/her duty under the influence of alcohol and/or intoxicating drugs (unless such drugs have been prescribed by a recognised medical practitioner and line management has been informed); not misbehave in such a way or be so negligent that this behaviour could endanger others or lead to the damage of the University's property, the disruption of activities or the impairment of the University's reputation; not intentionally disclose private and confidential information; not bring to, or house or use on University property any firearm, dangerous weapon or mock weapon (without prior permission).   In the event of an employee making himself/herself liable to disciplinary action by not maintaining acceptable standards of conduct, management reserves the right to resolve the complaint of unsatisfactory conduct quickly and with fairness. It is the objective of discipline in general, and the disciplinary procedure in particular to discourage misconduct in the first instance, but where misconduct occurred to correct unacceptable behaviour.   Principles   Disciplinary action will be based on the merits and circumstances of each case. At any stage in this procedure the employee will be informed by his/her immediate superior of the nature of the complaint against him/her, and will be given an opportunity to make his/her case before any decision is made. The notice of any meeting under this procedure must inform the employee of the nature of the complaint being made.   Informal action   It is the philosophy of the University to make every effort to deal with minor problems or incidences of misconduct through informal discussion and supervision in order to avoid the implementation of the formal procedure. Formal disciplinary action may not be invoked every time an employee breaks a rule or fails to meet a required standard. Unless the misconduct is sufficiently serious, the employee's supervisor/manager shall administer corrective action in the form of informal advice, counseling and verbal warnings. No record of verbal warning shall appear on an employee's personal file or formal disciplinary record. However, line managers can keep these records for their departmental use. Please note that this will require direct interaction between a staff member and the line manager.   Formal action   In the event of serious misconduct or repeated cases of an employee failing to meet required standards of conduct, the University shall take formal disciplinary action. For the purposes of this disciplinary procedure, serious misconduct includes, but is not limited to   intoxication or being under the influence of alcohol or other intoxicant malicious or intentional damage to University property theft, or attempted theft unauthorised possession of University property fraud (including the falsification of documentation and the misuse of leave privileges) gross negligence assault or threatened assault intimidation breach of confidentiality persistent late arrival, early departure and/or being absent from the workplace without leave during working hours failure / refusal to obey a reasonable and lawful instruction abscondment (unauthorised absence for 5 or more days) disregard of safety, health and fire regulations dishonesty or bribery.      Suspension   Formal disciplinary action will normally be taken only if there is prima facie evidence of misconduct. An investigation may be necessary to establish such evidence. An employee under formal investigation, who is asked to make a written statement, shall be advised by the Investigating Officer beforehand that the statement could be used in a disciplinary hearing. This shall include a person being informed of their right to representation prior to making a statement. The employee may elect not to make a written statement. An employee under investigation has the right to ask, and be told, the outcome of the investigation, at the end of the investigation. An employee may be suspended with full pay during the investigation where:   the University has reasonable grounds for suspecting that the employee has committed serious misconduct the University reasonably suspects that the investigation, or the University, would be prejudiced by the continued presence of the employee at the workplace.   Where an employee is suspended pending the outcome of an investigation, he/she shall be informed in writing the grounds for the suspension. When the investigation is over, he/she shall be informed in writing of the outcome of the investigation. At the conclusion of the investigation, the Investigating Officer shall meet with the line manager and an HR Practitioner (appointed /delegated by the EDHR). Together they shall consider the evidence, and if it is sufficient to establish misconduct, draft charges shall be formulated. These as well as the evidence shall be referred to the Employee Relations Office which shall have the power to   confirm and/or amend the draft charges refer the matter back to the Investigating Officer for further investigation and/or consult further with the Investigating Officer, the HR Practitioner and the line manager to terminate the process if it is satisfied that there is insufficient evidence to establish the alleged misconduct. (with or without consultation in paragraph (ii) ). Where the investigation indicates misconduct on the part of an employee, a disciplinary enquiry shall be convened no later than 14 days after the investigation is complete.    If the line manager or the Employee Relations Office, is of the opinion that the conduct complained of is able to be resolved better through a process of mediation, it may be suggested to the complainant and the employee accused of alleged misconduct that resolution should be sought in terms of the University's Mediation policy. If the parties agree but are unable to resolve the matter in mediation, the line manager has the right to institute disciplinary proceedings within 14 days of the conclusion of mediation.    The disciplinary enquiry   Preliminaries   Where an employee has engaged in an act of misconduct he/she shall be notified in advance that he/she is required to attend a disciplinary enquiry. Sufficient time (at least two working days) shall be allowed for the employee to prepare his/her defense for the enquiry. The notification to the employee shall contain a detailed description of the allegations against the employee, and shall notify him/her of the following rights:   The right to be assisted or represented at the enquiry by a fellow University employee or a member of a University recognised employee representative body. Should the employee elect not to have a representative, this shall be recorded in the enquiry record. In the event that the representative of the employee's choice is not available, and provided sufficient notice of the enquiry has been given, the employee may nominate another representative to assist him/her, or make an application for a postponement that shall not be unreasonably withheld. Where a representative needs to represent an employee during working hours, whether or not he/she is a Shopsteward or Trade Union Representative, agreement shall be obtained between him/her and his/her supervisor/manager to be out of the workplace for these purposes.   The above-mentioned notification shall also, where possible, state who will chair the disciplinary enquiry. Should the employee and/or his/her representative believe that the chosen Chair should not hear the case, a motivation to this effect should be submitted to the nominated Chair, a copy of which is to be forwarded to the Employee Relations Office, at any time prior to the commencement of the hearing. The Chair will then decide whether or not to recuse him/herself (see 6b i, second point).   The enquiry: The participants   The chairperson   The chairperson of the enquiry shall approach the enquiry with an open and unbiased mind. He/she shall not have been directly involved in the issue or have conducted the investigation which led to the enquiry. Where the chairperson of the enquiry feels that he/she is unable to perform his/her duties impartially, he/she shall recuse himself/herself, and shall give written reasons for doing so to his/her Head of Department (administrative and support departments) or Dean and Head of Department (academic departments). The role of the chairperson shall be:   to ensure a fair and orderly procedure to open, conduct and close the proceedings to ensure that all parties fully understand the proceedings to attempt to establish the facts (which may necessitate identifying inconsistencies and probing conflicts in the evidence) to decide the matter only on the evidence presented to make two distinct decisions: - a finding regarding the allegations, and  - if the finding is one of guilt, then a decision on sanction.  to ensure that a record of the proceedings is kept. This record shall include the rationale for the chairperson's finding and, where sanction has been imposed, the rationale for the sanction.      The management representative   Management may nominate a representative to present its case, providing that such a representative is a University employee. The Management representative shall be required to lead evidence in support of the allegation against the employee. The Management representative shall examine Management witnesses as well as cross-examine witnesses called by the employee, or his/her representative. The Management representative shall be allowed to be present throughout the enquiry but shall not be party to the decision-making process.   The Human Resources Department representative   A member of the Human Resources Department shall be present at all disciplinary enquiries where an employee has been accused of serious misconduct. However, the absence of a member of the Human Resources Department at an enquiry shall not prejudice the holding of the enquiry. The primary role of the Human Resources Department shall be   to advise the chairperson and the Management representative where necessary regarding the implementation and interpretation of University policy and procedures; and to advise the chairperson on the relevant CCMA, Labour Court and Labour Appeal Court rulings and University precedent.   The Human Resources Department representative shall also be allowed to ask such pertinent questions as might clarify substantive issues in the case. The Human Resources Department representative's role is not to be confused with that of the chairperson or Management representative. He/she shall not be party to the decision-making process.   The employee and the employee representative   The employee has the right to be assisted by a representative of his/her choice provided that representative is a University employee. The employee and his/her representative shall be present throughout the enquiry. The employee and his/her representative shall be permitted to lead evidence in defense of his/her case, cross-examine Management's witnesses and lead further witnesses.   Witnesses   All witnesses in the enquiry shall be required to attend in person, even in cases where they have submitted written statements, to allow for the accused employee and his/her representative to cross-examine the evidence supplied. Where practicable, the evidence against the employee shall be presented orally by the person/s who have personal knowledge of the facts to which they testify. In disciplinary cases such as those involving violence or intimidation, where the complainant/s or witness/es can reasonably be expected to fear for their or their family's safety, special arrangements may be introduced to protect identities, but every effort shall be made to ensure procedural fairness. In exceptional circumstances, a witness may request permission from the chairperson to be accompanied by a support person (e.g. in a harassment case).     The enquiry: The process   The enquiry shall be divided into two parts   consideration of the evidence presented, and where a finding of guilty is reached, the enquiry shall proceed to  consideration of aggravating and mitigating circumstances.   In considering the evidence, the chairperson shall take account of all relevant evidence, as presented. The chairperson of the enquiry shall then make a finding, on the charges or lesser charges consistent with the circumstances in the case. The findings shall be based on a balance of probabilities. If the facts do not support the allegation made, the enquiry shall be closed and the employee cleared of the specific allegation. Where a finding of guilty is noted, the employee shall be informed and the enquiry shall proceed. When a finding of guilty is made the employee and his/her representative shall be given the opportunity to lead evidence in mitigation of the possible adverse sanction. The Management representative shall be given the opportunity to lead evidence of any aggravating circumstances. In addition to considering any evidence led in terms of 6c iv and 6c v above, and prior to making a decision on sanction, the chairperson of the enquiry shall have regard to any other mitigating and aggravating circumstances contained in the personal file of the employee. The chairperson of the enquiry shall convey his/her decision on sanction at the end of the enquiry. The decision shall be given to the employee and his/her representative in writing as soon as possible after the enquiry. In the case of the sanction being dismissal, the chairperson of the enquiry shall sign the letter notifying the employee of his/her dismissal. The chairperson of the enquiry shall produce a written report of the salient points in the enquiry. At the request of the employee, a copy of the report shall be sent to him/her or the employee's representative within 2 working days. Any delay on Management's part will extend the periods referred to in paragraph 7.   Possible sanctions   The sanction applied shall depend on   the seriousness of the case, and mitigating and/or aggravating circumstances (including the employee's previous record and especially repeated offences of the same or similar nature).   Formal disciplinary action may take the form of one of the following sanctions   written warning final written warning consolidated final warning dismissal with notice summary dismissal.   Written warnings shall be valid for a specified period of not less than six months. Final written warnings shall normally be valid for a specified period of not less than twelve months. In cases that are sufficiently serious to warrant dismissal, but an alternative to dismissal is considered, a final written warning for a period longer than twelve months could be issued. An employee receiving a written warning or a final written warning should sign it in acknowledgement of receipt. Such signature shall not prevent or in any way influence an appeal. If the employee refuses to sign the warning, this fact shall be recorded on the warning and signed by a witness. Refusal to sign is not a disciplinary offence. Dismissal may be warranted where   an employee has failed to respond to corrective action, i.e. misconduct while there is a current final written warning on file, or an employee continuously engages in various forms of unrelated misconduct for which he/she have current warnings, which have been consolidated into a final written warning. the misconduct is serious, such that it is not reasonable for the employment relationship to be continued.   The employee, in the case of dismissal with notice, shall subject to the chairperson's discretion be paid out in lieu of notice, up to the period as reflected in the employee's contract of employment. Where there has been gross misconduct or a complete breach of the employment contract (e.g. theft, fraud), an employee may be summarily dismissed. Dismissal is with immediate effect and the employee shall be paid up to the date of dismissal only.   Administration   An employee who is issued with a written, final written or consolidated final written warning would only be required to sign it in acknowledgement of receipt. The employee's signature on the warning form shall not prevent or in any way influence an appeal against the sanction. If the employee refuses to sign receipt of the warning, this fact shall be recorded on the warning form and signed by a witness. Refusal to sign a warning form is not a disciplinary offence. The original warning shall be given to the employee, one copy shall be filed on the employee's personal file in the Central Registry in the Human Resources Department, one copy kept by the supervisor/manager and a copy issued to the Employee Relations Office for its records. Upon expiry of the period of the warning, the employee may approach the supervisor/manager and ask for the copy of the warning kept by the supervisor/manager. No record of the warning shall thereafter be kept in the files of the supervisor/manager. Only the personal file kept in the central Registry of the Human Resources Department shall retain the ""expired"" warning forms.      Appeal procedure   An employee has the right, either personally or through his/her representative, to appeal against any formal disciplinary action. The basis for the appeal must be stated and may include but is not limited to   jurisdiction procedural irregularities evidentiary problems factual findings of the chairperson problems surrounding the sanction imposed problems relating to the impartiality of the chairperson.   In the case of a written warning, the appeal should be lodged with the senior of the person who issued the warning. The appeal should be lodged within 3 (three) working days of the issue of the warning. The senior addressed or, if appropriate, another line manager shall either hold an oral hearing or consider the matter on papers in order to decide the case. If the chairperson of the appeal decides to hold an oral hearing, he/she shall convene a hearing within 14 (fourteen) calendar days of receipt of the appeal. In the case of a dismissal, the appeal should be lodged in writing with the Registrar, via the Employee Relations Office of the Human Resources Department, within 7 (seven) working days of the dismissal. The Registrar, or Registrar's nominee, shall either consider the matter on papers or convene an oral hearing in order to decide the case. The hearing shall be convened within 14 (fourteen) calendar days of receipt of the appeal. The chairperson of the appeal may accept a notice of appeal lodged after the expiry of the said time limits, on good cause shown by the employee. The chairperson of the appeal shall not have been directly involved in the original enquiry or the investigation. The appeal hearing shall consider all the issues raised on the grounds of notice of appeal, including where relevant   procedural issues the finding of the original enquiry, and sanction.   A decision shall be given within 7 (seven) working days of receipt of the appeal if no hearing is called, or within 7 (seven) working days of the conclusion of the appeal hearing. This decision will be given as soon as possible thereafter in writing. This decision shall be final and shall indicate the end of the internal disciplinary procedure.       Page last updated: 10 October 2013    Share on","Disciplinary procedures for PASS staff, including scientific and technical staff"
