username,policyId,numsearch
user1,1,2
user1,10,1
user1,12,0
user1,14,0
user1,18,0
user1,19,0
user1,20,0
user1,21,0
user1,22,3
user1,23,0
user1,25,5
user1,26,2
user1,27,0
user1,34,1
user1,36,0
user1,41,0
user1,42,1
user1,46,1
user2,1,0
user2,10,0
user2,12,0
user2,14,0
user2,18,0
user2,19,1
user2,20,1
user2,21,1
user2,22,1
user2,23,1
user2,25,1
user2,26,0
user2,27,0
user2,34,1
user2,36,1
user2,41,0
user2,42,1
user2,46,0
user3,1,1
user3,10,1
user3,12,0
user3,14,0
user3,18,1
user3,19,0
user3,20,1
user3,21,1
user3,22,1
user3,23,1
user3,25,0
user3,26,0
user3,27,1
user3,34,0
user3,36,1
user3,41,1
user3,42,1
user3,46,1
user4,1,0
user4,10,1
user4,12,0
user4,14,0
user4,18,0
user4,19,1
user4,20,0
user4,21,0
user4,22,0
user4,23,1
user4,25,1
user4,26,1
user4,27,0
user4,34,1
user4,36,0
user4,41,1
user4,42,0
user4,46,1
user5,1,3
user5,10,1
user5,12,1
user5,14,0
user5,18,0
user5,19,1
user5,20,0
user5,21,0
user5,22,2
user5,23,0
user5,25,3
user5,26,3
user5,27,0
user5,34,0
user5,36,0
user5,41,0
user5,42,1
user5,46,0
user6,1,1
user6,10,1
user6,12,1
user6,14,0
user6,18,0
user6,19,1
user6,20,1
user6,21,1
user6,22,3
user6,23,0
user6,25,2
user6,26,1
user6,27,1
user6,34,1
user6,36,1
user6,41,1
user6,42,1
user6,46,1
user7,1,3
user7,10,0
user7,12,0
user7,14,1
user7,18,1
user7,19,1
user7,20,1
user7,21,1
user7,22,1
user7,23,1
user7,25,4
user7,26,2
user7,27,0
user7,34,1
user7,36,0
user7,41,0
user7,42,1
user7,46,0
user8,1,1
user8,10,1
user8,12,1
user8,14,1
user8,18,1
user8,19,0
user8,20,1
user8,21,0
user8,22,0
user8,23,0
user8,25,0
user8,26,1
user8,27,0
user8,34,1
user8,36,0
user8,41,0
user8,42,0
user8,46,0
user9,1,2
user9,10,0
user9,12,1
user9,14,0
user9,18,1
user9,19,1
user9,20,0
user9,21,0
user9,22,3
user9,23,1
user9,25,1
user9,26,0
user9,27,0
user9,34,1
user9,36,0
user9,41,0
user9,42,1
user9,46,1
user10,1,0
user10,10,1
user10,12,1
user10,14,0
user10,18,1
user10,19,1
user10,20,1
user10,21,1
user10,22,1
user10,23,0
user10,25,0
user10,26,0
user10,27,1
user10,34,1
user10,36,1
user10,41,0
user10,42,0
user10,46,1
user11,1,1
user11,10,0
user11,12,0
user11,14,0
user11,18,1
user11,19,0
user11,20,0
user11,21,1
user11,22,2
user11,23,0
user11,25,3
user11,26,0
user11,27,0
user11,34,0
user11,36,1
user11,41,1
user11,42,1
user11,46,0
user12,1,0
user12,10,1
user12,12,0
user12,14,0
user12,18,1
user12,19,1
user12,20,1
user12,21,1
user12,22,0
user12,23,2
user12,25,3
user12,26,2
user12,27,1
user12,34,1
user12,36,1
user12,41,0
user12,42,0
user12,46,1
user13,1,1
user13,10,0
user13,12,1
user13,14,0
user13,18,0
user13,19,0
user13,20,0
user13,21,0
user13,22,1
user13,23,0
user13,25,1
user13,26,0
user13,27,0
user13,34,1
user13,36,1
user13,41,1
user13,42,0
user13,46,1
user14,1,0
user14,10,1
user14,12,1
user14,14,0
user14,18,0
user14,19,1
user14,20,0
user14,21,0
user14,22,0
user14,23,2
user14,25,4
user14,26,1
user14,27,1
user14,34,0
user14,36,0
user14,41,0
user14,42,0
user14,46,1
user15,1,1
user15,10,0
user15,12,0
user15,14,1
user15,18,1
user15,19,0
user15,20,1
user15,21,0
user15,22,0
user15,23,0
user15,25,1
user15,26,1
user15,27,1
user15,34,1
user15,36,0
user15,41,0
user15,42,1
user15,46,1
user16,1,0
user16,10,1
user16,12,0
user16,14,0
user16,18,0
user16,19,1
user16,20,1
user16,21,0
user16,22,1
user16,23,1
user16,25,0
user16,26,1
user16,27,0
user16,34,1
user16,36,0
user16,41,1
user16,42,1
user16,46,0
user17,1,0
user17,10,0
user17,12,0
user17,14,0
user17,18,0
user17,19,1
user17,20,1
user17,21,1
user17,22,1
user17,23,1
user17,25,0
user17,26,0
user17,27,0
user17,34,0
user17,36,1
user17,41,1
user17,42,1
user17,46,1
user18,1,2
user18,10,0
user18,12,1
user18,14,1
user18,18,1
user18,19,0
user18,20,1
user18,21,1
user18,22,0
user18,23,1
user18,25,2
user18,26,3
user18,27,1
user18,34,1
user18,36,0
user18,41,1
user18,42,0
user18,46,0
user19,1,1
user19,10,1
user19,12,1
user19,14,1
user19,18,0
user19,19,1
user19,20,1
user19,21,0
user19,22,0
user19,23,0
user19,25,1
user19,26,0
user19,27,0
user19,34,0
user19,36,0
user19,41,1
user19,42,0
user19,46,1
user20,1,1
user20,10,1
user20,12,1
user20,14,0
user20,18,0
user20,19,1
user20,20,0
user20,21,0
user20,22,1
user20,23,3
user20,25,3
user20,26,4
user20,27,0
user20,34,0
user20,36,1
user20,41,1
user20,42,1
user20,46,0
